"workload","scenario","seconds","50%ile(ms)","66%ile(ms)","75%ile(ms)","80%ile(ms)","90%ile(ms)","95%ile(ms)","99%ile(ms)"
2400,"benchmark",600,5596.86947121598,5845.94297534916,6122.42577928561,6276.02733702808,6371.43006909005,6419.13143512103,6457.29252794582
2400,"by-dependencies",0,0,0,0,0,0,0,0
2400,"by-dependencies",60,944.346060277132,1001.670277883,1006.09191282124,1008.54837667582,1036.96864256326,1051.17877550698,1062.54688186196
2400,"by-dependencies",120,1576.27620742719,1643.67338301488,1704.54177366681,1738.35754625122,1758.01829277626,1767.84866603879,1775.71296464881
2400,"by-dependencies",180,2120.94646878043,2216.30221883948,2283.75267567663,2321.22515169726,2347.11416887119,2360.05867745816,2370.41428432773
2400,"by-dependencies",240,2682.10838599224,2808.78269560788,2890.03625267466,2935.17711771177,2960.78339379733,2973.58653184012,2983.82904227434
2400,"by-dependencies",300,3213.09480819336,3370.04185476832,3458.56133835853,3507.73882924197,3552.92411485446,3575.5167576607,3593.59087190569
2400,"by-dependencies",360,3783.79167953383,3962.36201495652,4054.83803528603,4106.21360213576,4154.56478422274,4178.74037526622,4198.08084810101
2400,"by-dependencies",420,4254.95729837317,4444.7734843279,4537.39340799027,4588.84892113603,4645.64370318795,4674.04109421392,4696.75900703469
2400,"by-dependencies",480,4593.84958654941,4799.00823598655,4899.54441836418,4955.39785301841,5018.39641995946,5049.89570342999,5075.0951302064
2400,"by-dependencies",540,4870.67849351361,5081.7639388235,5185.70982469364,5243.45753906594,5305.81654298055,5336.99604493786,5361.93964650371
2400,"by-dependencies",600,5068.72814457878,5299.08416906841,5401.44910192107,5458.31850906144,5523.21361781066,5555.66117218528,5581.61921568497
2400,"by-stack",0,0,0,0,0,0,0,0
2400,"by-stack",60,830.5510462385,857.360256681095,894.119320986836,914.541023378915,927.353641925558,933.759951198879,938.884998617537
2400,"by-stack",120,1363.44853964805,1446.6761010652,1541.26225663852,1593.81012084592,1601.81751337914,1605.82120964574,1609.02416665903
2400,"by-stack",180,1918.81850823868,1988.705369002,2060.396520515,2100.22493802222,2135.1656144859,2152.63595271773,2166.6122233032
2400,"by-stack",240,2440.74252201041,2537.83617274787,2677.5023481652,2755.0946678415,2778.40536220915,2790.06070939297,2799.38498714003
2400,"by-stack",300,2919.01138592957,3055.18132329033,3235.69885963328,3335.98637982381,3361.33818270692,3374.01408414847,3384.15480530171
2400,"by-stack",360,3458.52729054463,3632.01032388074,3839.97124852687,3955.5050955525,3998.70729189576,4020.3083900674,4037.5892686047
2400,"by-stack",420,3914.57233628891,4104.83530123274,4346.06296312921,4480.07833084948,4542.35247159221,4573.48954196357,4598.39919826067
2400,"by-stack",480,4248.17220347535,4443.70350510243,4694.89322874212,4834.44307520862,4944.18957484988,4999.06282467052,5042.96142452702
2400,"by-stack",540,4517.05221235481,4717.2449777644,4973.20330730895,5115.40237927815,5256.04345667082,5326.36399536716,5382.62042632423
2400,"by-stack",600,4723.41123605053,4925.65875619953,5204.93556155273,5360.08934230451,5503.44316792793,5575.12008073964,5632.46161098901
4500,"all-in-one",0,0,0,0,0,0,0,0
4500,"all-in-one",60,1683.90077417861,1695.56595991505,1706.3870936852,1712.39883466861,1793.05812652942,1833.38777245983,1865.65148920415
4500,"all-in-one",120,2481.11566198378,2534.32941614021,2610.45025786922,2652.73961438534,2765.47707736012,2821.84580884751,2866.94079403742
4500,"all-in-one",180,3244.98532161917,3297.96849452088,3349.59081827192,3378.2698870225,3502.91201408524,3565.23307761661,3615.08992844171
4500,"all-in-one",240,4152.70394123874,4212.0704554469,4261.09061245857,4288.3240330206,4409.64368189868,4470.30350633772,4518.83136588895
4500,"all-in-one",300,5314.36596830295,5373.24449002554,5428.01075121009,5458.43645186817,5676.12556618476,5784.97012334305,5872.04576906968
4500,"all-in-one",360,6489.13968423104,6538.50756686405,6579.53463339551,6602.32744813522,6869.94168133569,7003.74879793592,7110.79449121611
4500,"all-in-one",420,7395.54128773195,7461.47754349665,7480.45882613344,7491.00398315388,7801.90981973088,7957.36273801938,8081.72507265018
4500,"all-in-one",480,8130.67565052746,8164.43553155055,8167.64713574594,8169.43136029893,8544.11168182753,8731.45184259184,8881.32397120328
4500,"all-in-one",540,8753.4827146249,8785.59714650133,8799.31460220204,8806.93541092465,9203.01701777558,9401.05782120104,9559.49046394142
4500,"all-in-one",600,9218.42596398763,9269.39518395683,9272.40235924511,9274.07301218305,9747.26800575888,9983.86550254679,10173.1434999771
4500,"benchmark",0,0,0,0,0,0,0,0
4500,"benchmark",60,2191.21388642521,2288.74358324853,2430.48150861875,2509.2248004911,2603.15178402794,2650.11527579636,2687.6860692111
4500,"benchmark",120,3321.33634776884,3457.53818364105,3649.01866149138,3755.39670474156,3847.2440862191,3893.16777695786,3929.90672954888
4500,"benchmark",180,4103.38971707283,4262.63434603238,4429.08891727977,4521.56367908388,4724.53925784669,4826.02704722809,4907.21727873321
4500,"benchmark",240,5109.59309988448,5269.26153704188,5380.37511547875,5442.10488127701,5711.33433941432,5845.94906848298,5953.64085173791
4500,"benchmark",300,6593.79624625789,6689.64421884643,6726.58559640363,6747.1085839354,7163.48539584743,7371.67380180344,7538.22452656826
4500,"benchmark",360,9285.26350017715,9605.54051208407,9706.81640908519,9763.08079630803,9875.23334193891,9931.30961475435,9976.1706330067
4500,"benchmark",420,9967.84425867457,10085.3237183398,10173.982285163,10223.2370445092,10372.9631515298,10447.8262050401,10507.7166478483
4500,"benchmark",480,11133.9691247034,11677.9862177117,12021.712883592,12212.6721424144,12608.1848244579,12805.9411654796,12964.146238297
4500,"benchmark",540,13151.2557088957,13954.8592773126,14020.8543934996,14057.5183469368,15029.6184030817,15515.6684311541,15904.508453612
4500,"benchmark",600,13922.1658210238,15368.6526434973,15617.3775292526,15755.5580213389,16346.3082177084,16641.6833158932,16877.983394441
4500,"by-dependencies",0,0,0,0,0,0,0,0
4500,"by-dependencies",60,1694.62712092351,1705.85511609296,1715.41913959261,1720.73248598131,1731.41563508792,1736.75720964123,1741.03046928387
4500,"by-dependencies",120,2834.16264354137,2846.06433946848,2849.72302013841,2851.75562051059,2858.88766224276,2862.45368310885,2865.30649980171
4500,"by-dependencies",180,3747.82320934913,3754.06365295128,3754.27962436603,3754.39960848533,3757.37417165872,3758.86145324541,3760.05127851476
4500,"by-dependencies",240,4689.89813073172,4714.34390130018,4732.24943094365,4742.19694741224,4756.17033747307,4763.15703250348,4768.74638852782
4500,"by-dependencies",300,6196.95181772432,6197.92948147626,6198.9165201458,6199.46487496221,6403.66433743677,6505.76406867406,6587.44385366388
4500,"by-dependencies",360,8245.51740120072,8388.81407333072,8410.09372163518,8421.91574847099,8473.48555439657,8499.27045735936,8519.89837972959
4500,"by-dependencies",420,8363.29362312154,8413.403220916,8449.93180505365,8470.22546290789,9050.35350042697,9340.41751918651,9572.46873419414
4500,"by-dependencies",480,10022.7015711633,10261.5722809835,10420.9615529848,10509.5111485411,10839.4762452831,11004.458793654,11136.4448323508
4500,"by-dependencies",540,12142.5548083695,12270.312103673,12302.9123494059,12321.0235970353,12541.2074915204,12651.2994387629,12739.3729965569
4500,"by-dependencies",600,13430.5727956791,13805.2833763634,13836.3162262289,13853.5566983765,14114.4394558861,14244.880834641,14349.2339376448
4500,"by-stack",0,0,0,0,0,0,0,0
4500,"by-stack",60,1515.36236689738,1540.49944392664,1574.09580749394,1592.76045392022,1659.50707881196,1692.88039125783,1719.57904121453
4500,"by-stack",120,2518.0129685818,2601.99884228711,2672.53858833732,2711.727336143,2822.04343100047,2877.20147842921,2921.3279163722
4500,"by-stack",180,3423.16168666773,3513.56675698284,3571.86174494929,3604.2478493751,3708.64808608299,3760.84820443693,3802.60829912009
4500,"by-stack",240,4391.36861155064,4507.85117662794,4576.12740544694,4614.05864367971,4715.27674612077,4765.8857973413,4806.37303831772
4500,"by-stack",300,5946.00600178088,6158.9669400406,6316.16698304478,6403.50034026933,6430.39399882789,6443.84082810717,6454.59829153059
4500,"by-stack",360,7614.33622723526,7828.70353207575,8118.13776887934,8278.93456710356,8395.46876624277,8453.73586581238,8500.34954546806
4500,"by-stack",420,8360.15656838002,8491.81633090533,8504.06851647683,8510.87528623877,8728.63527442649,8837.51526852035,8924.61926379544
4500,"by-stack",480,8959.62764682098,9153.92599301018,9263.21881274161,9671.65669423931,10488.5324572347,10896.9703387324,11223.7206439306
4500,"by-stack",540,10296.5103777034,10749.9446847505,11208.5181925867,11463.2812524957,12244.797024024,12635.5549097881,12948.1612183995
4500,"by-stack",600,11467.7573324058,11656.6821295701,11853.1741295298,11962.3363517297,13431.0075646811,14165.3431711567,14752.8116563373
